Team,Opponent,Match_Type,Date,Location,Team_Score,Opponent_Score,Possession_Team,Possession_Opponent,Shots_Team,Shots_Opponent,Fouls_Team,Fouls_Opponent,Yellow_Cards_Team,Yellow_Cards_Opponent,Red_Cards_Team,Red_Cards_Opponent
Italy,Germany,Tournament,2010-01-24,Neutral,4,2,66.6097324011073,58.161328859586135,28,26,9,8,0,0,0,1
Netherlands,Germany,Tournament,2010-01-25,Neutral,0,4,48.51630753618866,35.599201248443634,20,11,16,8,2,3,0,0
Argentina,Germany,Tournament,2010-01-26,Away,1,4,55.88280074155931,54.82214982516556,28,29,14,12,4,1,0,1
Belgium,Netherlands,Qualifier,2010-01-27,Away,1,3,40.576308562238026,50.22212117291542,6,2,14,16,2,4,0,1
France,England,Friendly,2010-01-28,Neutral,4,5,36.240552640941516,41.92299815237047,27,26,6,10,0,3,0,1
England,France,Tournament,2010-01-29,Away,1,0,64.77827762632197,34.4619492342121,26,11,14,9,2,4,0,1
Germany,France,Friendly,2010-01-30,Away,1,4,34.38024722080656,59.43416558403666,6,25,8,9,4,2,1,1
Netherlands,Italy,Tournament,2010-01-31,Neutral,3,1,60.960852230680906,45.27220533508024,7,2,13,10,1,2,0,0
France,Italy,Friendly,2010-02-01,Neutral,3,0,53.2393722430743,33.46123109092706,25,27,8,19,4,2,0,1
Spain,Germany,Qualifier,2010-02-02,Away,0,3,64.44551126715396,60.911573530909315,22,9,5,17,2,3,0,0
France,Netherlands,Friendly,2010-02-03,Neutral,1,5,58.71273648392709,39.31578733935282,28,1,9,15,3,3,0,0
England,Germany,Tournament,2010-02-04,Neutral,2,2,41.26656408446167,59.45808214822082,26,23,6,15,2,2,0,0
Spain,Netherlands,Friendly,2010-02-05,Neutral,1,3,52.97710389029105,52.59594743762946,17,6,18,7,2,3,1,0
Netherlands,Germany,Qualifier,2010-02-06,Neutral,1,0,30.52294478421789,37.78116046316205,8,22,10,11,0,2,0,1
England,Brazil,Qualifier,2010-02-07,Away,0,2,49.00873369489716,33.05622908699168,2,2,5,5,3,1,1,1
Brazil,Brazil,Friendly,2010-02-08,Home,2,1,33.44054542288143,53.72996061610503,19,15,11,9,0,2,1,1
Germany,Spain,Tournament,2010-02-09,Away,1,2,47.15779991241319,31.008473289577154,28,1,11,10,0,0,0,0
Netherlands,Germany,Qualifier,2010-02-10,Home,5,2,34.384472319947086,32.61857939456451,21,26,19,17,4,1,0,0
Brazil,England,Qualifier,2010-02-11,Home,5,1,68.2191922778166,58.088763278668026,22,24,8,18,1,2,1,1
Belgium,Spain,Friendly,2010-02-12,Home,2,4,50.922718296309114,51.55495365605212,7,24,13,19,2,0,0,1
Netherlands,Italy,Qualifier,2010-02-13,Away,5,4,66.52871941106574,43.051810626175076,12,18,7,6,3,2,0,0
Belgium,Belgium,Qualifier,2010-02-14,Away,3,2,30.894648918630633,51.56911770673695,20,4,9,6,2,1,0,1
Spain,Germany,Tournament,2010-02-15,Away,3,2,55.50613135527591,53.66597310099678,3,29,9,13,0,2,0,0
Brazil,Brazil,Tournament,2010-02-16,Away,2,3,42.27818007706481,52.61143464977866,25,13,12,6,1,3,0,0
Germany,Belgium,Tournament,2010-02-17,Away,1,4,47.27315983860945,55.70216046061962,4,4,14,7,0,2,1,1
England,Netherlands,Friendly,2010-02-18,Home,2,1,64.92349580858759,67.61152400761469,25,15,14,5,2,1,1,1
Portugal,Belgium,Qualifier,2010-02-19,Away,5,5,69.2008437903498,45.55110080336102,25,2,8,13,4,4,1,0
France,England,Friendly,2010-02-20,Home,2,5,39.8596781773341,42.04605653830305,11,27,5,5,2,2,1,0
Argentina,Germany,Qualifier,2010-02-21,Away,5,2,67.93013141413206,31.537396441206788,12,9,15,8,0,3,1,1
Germany,France,Qualifier,2010-02-22,Away,3,2,57.549077955268764,35.882922274270676,19,12,9,11,3,1,0,1
Brazil,Belgium,Qualifier,2010-02-23,Neutral,2,5,68.05655657429082,34.249992635245704,19,14,5,6,3,0,0,1
Portugal,France,Tournament,2010-02-24,Home,4,3,52.4946799448484,43.41776747489849,29,20,7,12,3,4,0,1
Germany,Netherlands,Friendly,2010-02-25,Away,5,3,68.43025139965883,54.399629152602216,11,4,10,17,3,2,1,0
Brazil,Spain,Friendly,2010-02-26,Away,4,3,65.69821832589734,31.85335564538334,13,15,5,12,3,1,0,0
Italy,France,Qualifier,2010-02-27,Away,3,0,35.14366964901784,59.10660017818739,24,4,14,16,1,3,0,0
Italy,Spain,Friendly,2010-02-28,Neutral,1,1,42.43159708406922,45.897317999109575,1,5,18,18,1,3,1,0
Belgium,Brazil,Tournament,2010-03-01,Home,5,0,39.722527660500475,68.54018063153819,6,10,18,7,4,1,1,0
Germany,Germany,Friendly,2010-03-02,Away,1,2,52.88397304201028,52.73539900767754,22,12,17,8,3,3,1,1
Italy,Belgium,Qualifier,2010-03-03,Away,3,3,62.11197726023701,60.85449249553955,25,12,7,15,0,4,0,0
Brazil,Brazil,Tournament,2010-03-04,Away,1,3,60.37645787547525,64.44724929188132,16,8,11,11,0,0,1,0
Belgium,Brazil,Tournament,2010-03-05,Neutral,5,5,59.06996529133907,65.5538520530211,2,4,6,9,2,3,1,1
Brazil,Portugal,Qualifier,2010-03-06,Away,0,5,45.010595029423435,50.73846998719229,14,3,10,9,3,3,1,0
Belgium,Argentina,Friendly,2010-03-07,Home,5,3,35.58547526511312,45.86970233724324,24,27,11,6,0,0,0,1
Germany,England,Qualifier,2010-03-08,Home,5,4,38.42334214514397,52.42059958753758,23,1,16,10,4,4,1,1
Portugal,Spain,Friendly,2010-03-09,Home,4,5,59.66709838593331,46.08281606469711,18,18,16,8,0,4,1,0
England,Portugal,Friendly,2010-03-10,Home,0,1,35.90137356238253,39.62859877132966,17,20,6,9,4,4,1,0
Netherlands,Argentina,Tournament,2010-03-11,Away,0,0,38.917868197340844,42.9567930866667,20,25,15,19,3,3,1,0
Portugal,England,Qualifier,2010-03-12,Neutral,0,1,46.98210611493965,39.31079424954396,18,14,15,15,2,3,1,0
Spain,Spain,Tournament,2010-03-13,Neutral,5,5,32.88449722749852,40.77750522379446,19,17,9,9,2,4,1,1
Brazil,Germany,Qualifier,2010-03-14,Neutral,3,3,38.50768243080519,33.744309489428815,15,6,14,6,1,3,0,1
Spain,England,Qualifier,2010-03-15,Away,0,2,35.99072509364946,47.058508828956185,2,6,16,12,3,2,0,1
Portugal,Belgium,Tournament,2010-03-16,Neutral,2,4,68.05287131647361,39.41135626412895,25,10,14,15,0,3,1,0
Belgium,Brazil,Qualifier,2010-03-17,Home,1,5,37.66103542179557,47.934662095779046,4,19,5,5,2,4,0,1
Netherlands,Argentina,Qualifier,2010-03-18,Away,3,1,64.47078840681576,61.68792936705173,1,10,7,18,4,1,0,0
Netherlands,Argentina,Friendly,2010-03-19,Neutral,2,2,34.59192765066434,47.93249412972709,8,25,18,6,4,4,0,1
Argentina,Argentina,Qualifier,2010-03-20,Home,5,5,64.78692529210029,68.18447482838862,20,26,5,11,0,1,1,1
Netherlands,Spain,Qualifier,2010-03-21,Home,5,3,53.977351450938784,35.91347578112084,14,3,16,19,0,3,1,0
England,Belgium,Tournament,2010-03-22,Away,2,3,63.98823692898472,64.01059963351499,26,1,7,19,3,3,0,1
Netherlands,England,Tournament,2010-03-23,Away,4,3,64.6939475414943,39.930324562919495,11,18,8,11,0,1,0,0
Portugal,Brazil,Qualifier,2010-03-24,Neutral,4,3,53.85494122669636,67.35733803419896,27,15,16,6,0,4,0,1
Argentina,Belgium,Friendly,2010-03-25,Neutral,2,5,66.70776613580097,39.08591705794618,24,20,16,5,0,0,0,1
Portugal,Portugal,Friendly,2010-03-26,Neutral,4,4,53.41793165938492,59.87847143859222,24,4,9,18,2,0,1,0
Portugal,Germany,Tournament,2010-03-27,Away,1,4,58.50260311513502,32.48471603439881,25,18,8,19,3,4,0,1
France,France,Qualifier,2010-03-28,Neutral,1,1,46.643219086753305,55.192537486407105,14,10,8,17,0,3,1,1
Argentina,Belgium,Qualifier,2010-03-29,Neutral,5,5,66.5627077788395,38.74696871663763,28,22,13,14,0,1,0,1
Portugal,Portugal,Friendly,2010-03-30,Home,4,3,62.96650155648106,56.806901665929445,16,22,13,5,4,1,1,0
France,Brazil,Friendly,2010-03-31,Home,0,4,36.6685244646771,55.433173504993874,10,19,13,18,2,4,1,0
France,France,Friendly,2010-04-01,Home,2,5,53.05551400818795,66.94783518640648,7,17,15,5,0,4,1,0
Argentina,France,Tournament,2010-04-02,Neutral,1,2,65.87309316347785,55.06705722481793,16,10,9,10,2,2,1,0
Spain,Belgium,Qualifier,2010-04-03,Away,4,4,61.722579746358036,46.329952465996314,100,25,15,14,3,1,1,1
Belgium,Argentina,Tournament,2010-04-04,Home,4,4,68.502111226453,37.742712193968124,12,4,17,16,3,2,1,1
England,Italy,Qualifier,2010-04-05,Away,1,1,39.25206747790379,56.298040341765585,12,25,9,11,1,3,1,0
Belgium,Brazil,Tournament,2010-04-06,Neutral,1,4,44.69838532521912,34.6546641569133,2,5,6,6,4,1,0,0
Netherlands,Argentina,Qualifier,2010-04-07,Neutral,0,2,50.28767552072525,63.14067307687071,6,7,10,19,1,4,1,1
England,Brazil,Friendly,2010-04-08,Home,4,3,39.306766801090596,39.893381877554546,20,19,6,10,2,4,0,0
Netherlands,Italy,Friendly,2010-04-09,Away,4,0,45.76181020755276,50.96635592994919,15,19,14,8,4,3,0,0
Portugal,Germany,Friendly,2010-04-10,Home,3,1,51.501568176973294,53.83789217317582,15,8,17,17,0,0,0,0
Brazil,Italy,Tournament,2010-04-11,Neutral,5,2,37.65356812005363,44.49959961589947,22,1,9,13,4,2,0,0
Argentina,Netherlands,Friendly,2010-04-12,Away,0,1,40.26751274810323,56.55495110288986,16,24,15,15,4,4,0,1
England,Belgium,Qualifier,2010-04-13,Home,1,5,34.99369999235178,40.008678355685205,24,8,17,12,3,1,0,1
England,Belgium,Tournament,2010-04-14,Neutral,1,3,58.53525639542994,31.38498295106382,3,19,19,12,1,1,0,0
Portugal,Portugal,Qualifier,2010-04-15,Home,2,4,44.46207706144532,68.37070944539745,1,17,16,6,3,1,1,0
Spain,Argentina,Tournament,2010-04-16,Away,5,5,38.81064612735153,42.801833253726,21,9,16,15,3,3,0,1
France,Portugal,Qualifier,2010-04-17,Away,1,4,50.2929659672381,58.53848938641867,12,20,9,9,1,0,0,1
Portugal,Netherlands,Qualifier,2010-04-18,Away,4,2,32.72997222740991,50.30134427681523,15,23,8,6,3,2,0,0
Italy,Italy,Tournament,2010-04-19,Away,1,3,66.93626425273578,56.759947084520164,19,16,9,7,4,1,0,1
France,Belgium,Tournament,2010-04-20,Away,4,0,41.77870084629057,34.43746090062711,6,9,11,12,2,1,0,1
Argentina,Spain,Friendly,2010-04-21,Home,4,0,65.45857392735448,50.753915004643964,19,19,14,9,0,4,0,1
France,Italy,Friendly,2010-04-22,Home,0,4,49.904802612985875,45.68878214048881,17,16,17,8,0,0,1,1
Spain,Italy,Qualifier,2010-04-23,Home,1,5,64.00601990842563,48.073982673348304,9,21,6,9,3,4,0,1
France,Netherlands,Qualifier,2010-04-24,Home,0,3,39.88257763158578,68.64833331776946,21,26,19,12,1,3,0,1
Argentina,Germany,Qualifier,2010-04-25,Neutral,5,3,37.01082408971012,35.45155619347569,13,27,5,14,4,3,0,0
Spain,Brazil,Tournament,2010-04-26,Neutral,4,2,63.97647212939313,60.18800705645593,15,13,8,18,3,2,0,1
Belgium,Netherlands,Tournament,2010-04-27,Home,5,5,38.51695529486844,43.213711766931254,16,19,11,18,4,3,0,1
England,Brazil,Friendly,2010-04-28,Neutral,1,0,59.8478139719832,41.614319504950494,13,5,5,11,4,2,1,0
England,Belgium,Qualifier,2010-04-29,Neutral,5,2,43.783351786385296,40.831095835970615,2,27,8,19,0,4,0,0
Netherlands,Netherlands,Friendly,2010-04-30,Away,5,1,59.92774905740646,43.95126212891564,2,2,19,10,2,1,0,0
Belgium,Brazil,Tournament,2010-05-01,Home,1,3,66.3058506395332,44.28468238374424,11,4,19,6,2,1,1,0
Belgium,Portugal,Tournament,2010-05-02,Neutral,0,0,69.26553725149172,40.829880207278855,25,12,18,14,1,0,0,0
France,Netherlands,Tournament,2010-05-03,Neutral,0,2,44.39237909074534,56.69972591093904,28,18,10,9,2,3,1,0
England,Belgium,Friendly,2010-05-04,Home,4,4,44.70103338562185,31.908879348009975,16,3,10,14,3,0,1,0
Argentina,Netherlands,Tournament,2010-05-05,Away,4,1,69.25550947139419,43.29175223223537,17,21,5,19,0,0,1,0
Germany,Belgium,Qualifier,2010-05-06,Home,1,2,64.46112521192154,41.208224273442774,26,25,11,17,0,1,0,0
Germany,Netherlands,Friendly,2010-05-07,Away,1,4,31.803678876455123,60.0567208219948,3,19,18,18,4,3,0,1
Spain,Brazil,Tournament,2010-05-08,Neutral,3,0,52.93799944906082,35.85994176078212,28,26,9,19,3,1,1,0
England,Germany,Friendly,2010-05-09,Away,3,0,37.249790861937534,67.62748568388932,29,22,10,13,3,0,1,0
England,England,Friendly,2010-05-10,Away,2,1,69.76050144372874,36.8207444818062,29,4,5,13,4,3,0,1
Germany,Brazil,Tournament,2010-05-11,Home,4,4,35.55692049483895,44.80109456254205,26,4,11,19,4,1,0,1
England,Argentina,Tournament,2010-05-12,Neutral,5,3,52.37390450171466,37.98800773756491,27,16,8,19,0,2,1,0
France,France,Friendly,2010-05-13,Home,2,0,56.607934801167325,41.46791773888362,23,11,7,13,3,2,1,0
Italy,Germany,Friendly,2010-05-14,Home,2,5,67.48258618616225,60.440988026724995,1,29,16,7,2,4,0,1
Brazil,Portugal,Tournament,2010-05-15,Neutral,0,3,63.89033246576748,49.0561887495344,18,26,15,13,2,4,1,0
Belgium,Italy,Qualifier,2010-05-16,Home,5,3,39.83019085311132,36.50302869241,14,26,17,13,0,3,1,0
Netherlands,Brazil,Friendly,2010-05-17,Home,0,2,52.90495805170018,31.865395145782948,22,13,19,9,2,4,1,0
Spain,Netherlands,Friendly,2010-05-18,Away,3,2,68.14295831623534,39.196648806811,9,21,8,17,2,3,1,0
Italy,Brazil,Qualifier,2010-05-19,Home,2,0,59.42867388419751,67.82411114104085,28,11,13,10,3,0,1,0
Germany,Spain,Tournament,2010-05-20,Neutral,3,3,57.53345393519575,63.812669927521334,9,7,9,11,3,2,0,0
Belgium,Germany,Tournament,2010-05-21,Home,5,2,60.19604317124626,47.60694863696035,12,27,16,14,1,3,0,0
England,England,Qualifier,2010-05-22,Away,5,4,42.90024755951279,49.279808877839315,24,14,9,14,3,0,0,0
Netherlands,Portugal,Tournament,2010-05-23,Home,4,4,59.17009077612945,65.9746455751598,3,4,12,14,1,2,0,1
England,Spain,Tournament,2010-05-24,Home,1,4,39.31419005787664,53.65381529502941,2,8,19,10,3,1,1,1
Argentina,Belgium,Friendly,2010-05-25,Home,0,4,47.12411083631014,65.23068260595053,1,12,11,9,4,0,0,0
Argentina,Spain,Friendly,2010-05-26,Away,4,3,65.59715268754026,49.67356417409363,27,13,7,17,3,1,1,0
Netherlands,Brazil,Friendly,2010-05-27,Neutral,4,4,30.758845859630068,38.00390476475304,27,25,17,5,1,4,0,0
Netherlands,Portugal,Qualifier,2010-05-28,Neutral,0,3,46.572746010093866,59.0370791976894,9,9,19,8,2,3,1,0
Germany,Brazil,Tournament,2010-05-29,Away,0,0,40.672870669562386,51.05573278316051,13,9,5,17,3,2,1,0
Netherlands,Belgium,Tournament,2010-05-30,Away,5,0,37.943584659744374,56.73758319873875,21,2,16,18,2,4,0,0
France,Italy,Friendly,2010-05-31,Home,5,4,63.543016858900494,36.289236667979786,28,3,15,12,2,0,1,1
England,Portugal,Friendly,2010-06-01,Neutral,2,4,57.859942913799124,55.90407207675783,16,21,17,12,3,4,1,1
Italy,Italy,Qualifier,2010-06-02,Away,3,4,34.50530881645927,45.29028589620482,19,12,6,16,3,1,0,1
Portugal,Germany,Tournament,2010-06-03,Neutral,5,0,49.77853306004758,43.27991011244784,10,17,7,17,4,1,0,0
Netherlands,Germany,Qualifier,2010-06-04,Home,4,2,48.67623087308445,56.85902164290408,26,4,15,10,1,3,1,0
Spain,Italy,Tournament,2010-06-05,Away,2,0,35.70111176117634,53.68956453043826,27,27,5,17,3,4,0,0
Argentina,Germany,Qualifier,2010-06-06,Neutral,2,4,61.99050803964833,55.96429715746818,5,14,5,7,2,2,1,1
France,Portugal,Friendly,2010-06-07,Neutral,4,2,44.66695885816799,68.61332256925965,14,21,12,16,2,1,0,1
Belgium,Netherlands,Qualifier,2010-06-08,Home,5,2,60.477511006415774,58.047858782776714,27,9,17,19,3,0,1,1
Portugal,Argentina,Qualifier,2010-06-09,Away,4,1,37.6825046032885,55.63595849091563,15,8,12,12,1,4,0,0
Italy,Germany,Friendly,2010-06-10,Neutral,1,3,42.60293846455329,54.542121673656176,28,1,6,11,2,2,0,1
Portugal,Germany,Tournament,2010-06-11,Home,5,4,33.80683790810664,45.94856997414957,3,13,12,15,4,2,0,1
Netherlands,Brazil,Tournament,2010-06-12,Neutral,3,3,35.73917078982433,63.567667645687266,9,28,15,13,2,2,1,1
Germany,Italy,Friendly,2010-06-13,Home,4,1,65.32733961410932,45.237544100228426,29,3,17,7,1,2,0,1
Argentina,France,Qualifier,2010-06-14,Neutral,5,3,34.364505767423104,58.00974537302247,1,14,18,15,0,1,0,0
Argentina,England,Qualifier,2010-06-15,Neutral,0,4,33.82924829143773,41.725745788586686,1,19,6,10,4,3,1,0
Belgium,Spain,Qualifier,2010-06-16,Home,1,1,67.6150924334664,35.91025767065148,19,27,17,19,4,4,0,0
Germany,Germany,Tournament,2010-06-17,Away,3,3,55.836138386430704,35.190532291919844,6,6,15,5,0,1,1,1
England,Spain,Qualifier,2010-06-18,Home,5,0,34.03663934217678,55.38235426763194,11,4,9,16,4,3,0,1
Brazil,Portugal,Tournament,2010-06-19,Away,0,2,68.86866956264205,43.118197219183614,18,20,5,12,4,2,0,1
France,France,Qualifier,2010-06-20,Neutral,5,1,35.88400042013188,41.001971543695745,14,1,13,6,4,0,0,0
Argentina,England,Friendly,2010-06-21,Neutral,0,0,60.653829011417116,53.6823731742587,16,28,8,9,2,2,1,0
Spain,Italy,Friendly,2010-06-22,Home,3,4,31.39405446558346,31.026790178620075,1,10,14,10,2,3,0,0
Argentina,Argentina,Tournament,2010-06-23,Home,1,2,54.98167189359246,39.84902607938698,24,13,18,8,3,3,1,0
Portugal,England,Tournament,2010-06-24,Away,0,1,51.86815488411583,43.6218914126835,27,12,15,13,3,0,0,1
Argentina,England,Friendly,2010-06-25,Away,2,2,38.320152417012046,58.334943624287924,10,11,6,7,2,1,0,1
Argentina,Argentina,Friendly,2010-06-26,Away,3,5,55.72584570881665,51.80004988655002,25,4,5,6,4,0,1,0
Brazil,Netherlands,Qualifier,2010-06-27,Home,3,5,54.68211972709554,64.23954468505798,10,17,10,7,1,2,1,1
Brazil,Italy,Friendly,2010-06-28,Neutral,4,1,61.93406861855907,43.38025451994028,13,15,15,9,0,4,0,0
Italy,Brazil,Tournament,2010-06-29,Home,1,1,65.03496234401781,41.85763969101663,28,21,12,5,3,1,1,0
England,Spain,Friendly,2010-06-30,Neutral,2,3,50.40419762614264,31.32789634260042,1,29,8,14,4,4,1,0
Spain,Germany,Tournament,2010-07-01,Home,2,2,49.611807739366455,68.06869202553412,3,3,5,16,3,4,0,0
Argentina,England,Tournament,2010-07-02,Home,4,5,54.86383083778791,50.059685855802734,14,29,5,8,1,1,1,0
Argentina,Portugal,Qualifier,2010-07-03,Away,0,5,59.168303569192524,50.1009565877526,21,10,10,5,4,2,1,0
France,Argentina,Qualifier,2010-07-04,Neutral,0,2,44.246846897674985,66.93744581382393,16,21,6,13,2,3,0,1
Brazil,Spain,Qualifier,2010-07-05,Home,2,5,50.18567533464913,41.596729437143196,23,14,19,18,1,2,0,0
Spain,France,Qualifier,2010-07-06,Home,1,0,53.40416743292693,43.28424520182983,26,19,9,7,3,3,1,1
Belgium,Argentina,Friendly,2010-07-07,Neutral,0,5,69.53512335343645,56.25390777580572,20,21,19,6,4,3,1,0
Italy,France,Qualifier,2010-07-08,Home,3,5,53.50848785823666,61.40703819597577,6,4,6,9,4,1,1,0
England,Italy,Friendly,2010-07-09,Neutral,5,4,38.96746202969027,57.972429017299646,1,25,13,5,0,1,0,0
Germany,England,Qualifier,2010-07-10,Away,4,0,53.51959432961043,61.54873130089113,20,14,6,14,0,0,1,0
England,Portugal,Qualifier,2010-07-11,Away,1,3,62.77998331796073,53.00432157162389,24,6,9,18,0,4,0,1
Portugal,Germany,Tournament,2010-07-12,Neutral,0,1,64.29614720044763,64.51293930846414,5,12,8,11,2,4,0,0
Argentina,France,Friendly,2010-07-13,Away,5,5,62.01001818372047,52.00426920276655,8,26,15,13,4,4,1,1
Italy,Spain,Tournament,2010-07-14,Neutral,2,3,65.52837661155368,39.17362509004836,12,2,5,5,4,4,1,0
Portugal,Netherlands,Qualifier,2010-07-15,Home,4,3,43.3906536751651,51.66804425994473,1,17,14,16,3,0,1,0
Spain,Italy,Friendly,2010-07-16,Home,0,0,50.30282483810648,58.51778740627819,13,1,13,12,2,3,1,1
Germany,Netherlands,Qualifier,2010-07-17,Neutral,2,1,61.183643840301755,56.14301357659646,26,17,7,12,0,0,1,1
Brazil,Italy,Tournament,2010-07-18,Home,0,4,40.577998030363936,39.720670518829436,9,25,14,11,4,1,0,1
Italy,Brazil,Friendly,2010-07-19,Away,4,3,44.86325751406804,31.64312912016474,20,5,12,14,0,2,1,1
Italy,Spain,Tournament,2010-07-20,Home,3,4,63.246226182240484,40.099230415623985,25,16,8,8,1,3,1,0
Argentina,Netherlands,Qualifier,2010-07-21,Home,3,1,60.80342598481933,69.36168285014878,24,14,15,18,2,3,0,1
Netherlands,Portugal,Qualifier,2010-07-22,Neutral,5,1,68.84798271664356,37.37864961561797,8,20,17,16,0,0,0,1
Italy,England,Qualifier,2010-07-23,Away,2,0,69.83896234058601,48.57487033963574,13,10,17,19,2,1,0,1
France,Argentina,Friendly,2010-07-24,Home,3,2,39.62978187885516,55.5338319743024,28,21,13,18,4,1,0,0
Germany,Germany,Tournament,2010-07-25,Home,4,5,66.01799944694693,65.1789274019817,2,25,9,11,1,3,0,1
Germany,England,Tournament,2010-07-26,Neutral,2,0,33.78062005400277,60.410345501208305,15,3,6,6,3,0,1,0
France,England,Qualifier,2010-07-27,Neutral,0,4,58.39200835856222,66.35812422242412,14,3,12,10,1,4,0,1
Belgium,Italy,Tournament,2010-07-28,Away,1,0,38.80397550702204,54.175347743139405,19,28,17,18,2,3,0,0
France,Portugal,Friendly,2010-07-29,Home,0,1,42.01244627690251,64.6127523251124,26,18,8,16,1,4,0,1
France,Italy,Qualifier,2010-07-30,Neutral,4,3,67.85284710658166,40.55371988556838,9,24,18,19,4,2,1,1
Germany,Belgium,Qualifier,2010-07-31,Neutral,5,5,40.52604946936847,47.22259368679459,19,23,6,15,2,1,0,0
England,France,Qualifier,2010-08-01,Neutral,2,5,56.92711476642521,63.750898973970976,14,18,10,19,2,3,1,0
Germany,Germany,Friendly,2010-08-02,Away,0,2,37.12514031453025,43.02254671111418,8,4,5,9,4,2,1,0
Netherlands,France,Qualifier,2010-08-03,Neutral,2,1,33.735599102819506,64.8488857695358,5,7,12,9,0,4,1,0
Argentina,Argentina,Qualifier,2010-08-04,Away,3,5,43.572681013754575,44.524602715533526,7,1,13,15,3,3,1,1
Portugal,Belgium,Qualifier,2010-08-05,Away,1,5,54.96784403157925,44.53578814893369,4,16,11,12,1,2,1,1
England,Spain,Qualifier,2010-08-06,Home,4,3,39.91780575016325,42.361316591645775,8,17,17,5,3,3,0,1
Brazil,Argentina,Tournament,2010-08-07,Home,0,4,42.006751946866956,51.877723345502744,4,8,17,12,3,2,1,1
Portugal,Argentina,Qualifier,2010-08-08,Away,1,4,58.349192744258204,35.1627495559488,21,6,13,8,4,2,1,1
Argentina,Brazil,Friendly,2010-08-09,Home,4,4,34.11184091925476,31.46410607392077,1,2,6,17,0,4,0,1
Netherlands,Germany,Qualifier,2010-08-10,Home,4,0,47.8762036721403,65.89651919883963,26,26,15,14,3,1,0,1
Netherlands,Italy,Qualifier,2010-08-11,Neutral,5,4,67.66938119528896,67.15753018295167,8,10,5,10,2,0,1,0
Brazil,Portugal,Tournament,2010-08-12,Home,3,4,45.878866496569,33.046826475676994,7,17,11,10,0,2,0,0
England,France,Qualifier,2010-08-13,Away,5,0,47.36804111909757,51.98790219845971,11,19,8,5,4,1,1,1
Belgium,Argentina,Tournament,2010-08-14,Home,5,3,59.52817214429156,51.58728639020725,21,28,14,12,3,0,0,1
France,France,Friendly,2010-08-15,Neutral,2,1,61.160460881313874,44.89722721670469,16,4,12,17,4,4,1,0
